FUND ID,TRANSACTION DATE,TRANSACTION TYPE,TRANSACTION AMOUNT
190,2017-09-30T00:00:00Z,Value,0
190,2018-09-30T00:00:00Z,Value,0
190,2019-09-30T00:00:00Z,Value,0
190,2020-09-30T00:00:00Z,Value,0
190,2003-03-31T00:00:00Z,Value,3788157.6376771047
190,2005-03-31T00:00:00Z,Value,2429247.819072765
190,2006-03-31T00:00:00Z,Value,702928.3324734867
190,2007-03-31T00:00:00Z,Value,640215.6542467803
190,2008-03-31T00:00:00Z,Value,126092.49925851189
190,2009-03-31T00:00:00Z,Value,130926.71125449165
190,2010-03-31T00:00:00Z,Value,94983.49404247999
190,2011-03-31T00:00:00Z,Value,102354.44016423337
190,2012-03-31T00:00:00Z,Value,0
190,2013-03-31T00:00:00Z,Value,0
190,2014-03-31T00:00:00Z,Value,0
190,2015-03-31T00:00:00Z,Value,0
190,2016-03-31T00:00:00Z,Value,0
190,2017-03-31T00:00:00Z,Value,0
190,2018-03-31T00:00:00Z,Value,0
190,2019-03-31T00:00:00Z,Value,0
190,2020-03-31T00:00:00Z,Value,0
190,2021-03-31T00:00:00Z,Value,0
190,2002-12-31T00:00:00Z,Value,3580921.877470021
190,2004-12-31T00:00:00Z,Value,2342527.7200983567
190,2005-12-31T00:00:00Z,Value,669021.8819526334
190,2006-12-31T00:00:00Z,Value,601204.6134572446
190,2007-12-31T00:00:00Z,Value,134583.049694518
190,2009-12-31T00:00:00Z,Value,92647.6792976886
190,2011-12-31T00:00:00Z,Value,101921.5065994421
190,2012-12-31T00:00:00Z,Value,0
190,2013-12-31T00:00:00Z,Value,0
190,2014-12-31T00:00:00Z,Value,0
190,2015-12-31T00:00:00Z,Value,0
190,2016-12-31T00:00:00Z,Value,0
190,2017-12-31T00:00:00Z,Value,0
190,2018-12-31T00:00:00Z,Value,0
190,2019-12-31T00:00:00Z,Value,0
190,2020-12-31T00:00:00Z,Value,0
2108,2017-03-31T00:00:00Z,Capital Call,-10346226.312220097
2108,2017-03-31T00:00:00Z,Value,9508407.84260258
1732,2017-03-31T00:00:00Z,Capital Call,-5298080.559382215
1732,2017-03-31T00:00:00Z,Value,5731116.89893147
2731,2020-02-15T00:00:00Z,Capital Call,-931931.9926276804
2731,2019-11-15T00:00:00Z,Capital Call,-652556.3508141786
2731,2019-06-30T00:00:00Z,Capital Call,-1117959.499698598
2731,2019-06-30T00:00:00Z,Value,1047170.4408080494
2731,2019-09-30T00:00:00Z,Value,984467.4345444991
2731,2020-03-31T00:00:00Z,Value,3237434.084860079
2731,2019-12-31T00:00:00Z,Value,1659268.1625116898
1745,2005-02-14T00:00:00Z,Capital Call,-1034902.8430151505
1745,2006-02-14T00:00:00Z,Capital Call,-747457.4736133218
1745,2010-02-14T00:00:00Z,Capital Call,-103042.35101491213
1745,2005-08-15T00:00:00Z,Capital Call,-359220.6410849467
1745,2008-08-15T00:00:00Z,Capital Call,-293822.9818828404
1745,2011-08-15T00:00:00Z,Capital Call,-79353.35657149553
1745,2005-11-15T00:00:00Z,Capital Call,-149925.73817353696
1745,2006-11-15T00:00:00Z,Capital Call,-1109345.0950849801
1745,2008-11-15T00:00:00Z,Capital Call,-279239.28760290146
1745,2009-11-15T00:00:00Z,Capital Call,-353830.2782326937
1745,2010-11-15T00:00:00Z,Capital Call,-101795.87676562369
1745,2011-11-15T00:00:00Z,Capital Call,-111740.3057795018
1745,2005-05-16T00:00:00Z,Capital Call,-487960.18866822124
1745,2006-05-16T00:00:00Z,Capital Call,-1008439.9542771281
1745,2007-05-16T00:00:00Z,Capital Call,-759620.2276227995
1745,2008-05-16T00:00:00Z,Capital Call,-202384.26171988252
1745,2012-05-16T00:00:00Z,Capital Call,-147555.9633994735
1745,2004-06-30T00:00:00Z,Capital Call,-2778904.1692863475
1745,2013-02-14T00:00:00Z,Distribution,559331.5808655344
1745,2014-02-14T00:00:00Z,Distribution,1695835.048398877
1745,2017-02-14T00:00:00Z,Distribution,1037740.4083526251
1745,2007-08-15T00:00:00Z,Distribution,5219304.885056999
1745,2008-08-15T00:00:00Z,Distribution,675795.66178015
1745,2010-08-15T00:00:00Z,Distribution,461202.9656217261
1745,2012-08-15T00:00:00Z,Distribution,506787.73851940315
1745,2013-08-15T00:00:00Z,Distribution,1763100.7934898506
1745,2014-08-15T00:00:00Z,Distribution,125146.4163437164
1745,2017-08-15T00:00:00Z,Distribution,128620.7849535485
1745,2020-08-15T00:00:00Z,Distribution,12976.622162010668
1745,2006-11-15T00:00:00Z,Distribution,465718.59527460893
1745,2012-11-15T00:00:00Z,Distribution,1579324.2406967457
1745,2015-11-15T00:00:00Z,Distribution,232901.0671608197
1745,2007-05-16T00:00:00Z,Distribution,267103.0893603382
1745,2015-05-16T00:00:00Z,Distribution,2972618.9798055682
1745,2016-05-16T00:00:00Z,Distribution,45631.85309231281
1745,2004-06-30T00:00:00Z,Value,2068542.1752666566
1745,2005-06-30T00:00:00Z,Value,3288937.802348559
1745,2006-06-30T00:00:00Z,Value,5235499.345623191
1745,2007-06-30T00:00:00Z,Value,13607799.934744101
1745,2008-06-30T00:00:00Z,Value,9324721.231306221
1745,2009-06-30T00:00:00Z,Value,9038763.973194923
1745,2010-06-30T00:00:00Z,Value,9154295.223513039
1745,2011-06-30T00:00:00Z,Value,7119802.97139291
1745,2012-06-30T00:00:00Z,Value,8199886.777308443
1745,2013-06-30T00:00:00Z,Value,6133780.212829395
1745,2014-06-30T00:00:00Z,Value,4769516.875072566
1745,2015-06-30T00:00:00Z,Value,2076603.5776687115
1745,2016-06-30T00:00:00Z,Value,700353.4892223839
1745,2017-06-30T00:00:00Z,Value,172364.07414488718
1745,2018-06-30T00:00:00Z,Value,12221.046243838964
1745,2019-06-30T00:00:00Z,Value,12115.743653270601
1745,2020-06-30T00:00:00Z,Value,13059.609403229131
1745,2004-09-30T00:00:00Z,Value,2041469.699061902
1745,2005-09-30T00:00:00Z,Value,3599353.705167785
1745,2006-09-30T00:00:00Z,Value,5538196.744628112
1745,2007-09-30T00:00:00Z,Value,9086725.957172606
1745,2008-09-30T00:00:00Z,Value,9260355.27669617
1745,2009-09-30T00:00:00Z,Value,8614662.125373172
1745,2010-09-30T00:00:00Z,Value,9181892.17056231
1745,2011-09-30T00:00:00Z,Value,6949973.835309609
1745,2012-09-30T00:00:00Z,Value,8005024.166037568
1745,2013-09-30T00:00:00Z,Value,4824064.220521015
1745,2014-09-30T00:00:00Z,Value,4103296.745989382
1745,2015-09-30T00:00:00Z,Value,1439967.1580516126
1745,2016-09-30T00:00:00Z,Value,706989.9906537831
1745,2017-09-30T00:00:00Z,Value,23091.236501392166
1745,2018-09-30T00:00:00Z,Value,12424.061983630063
1745,2019-09-30T00:00:00Z,Value,11896.386678768695
1745,2020-09-30T00:00:00Z,Value,0
1745,2005-03-31T00:00:00Z,Value,2846704.750456251
1745,2006-03-31T00:00:00Z,Value,4656840.049139007
1745,2007-03-31T00:00:00Z,Value,7560821.292493349
1745,2008-03-31T00:00:00Z,Value,9251961.42843989
1745,2009-03-31T00:00:00Z,Value,9313153.258257056
1745,2010-03-31T00:00:00Z,Value,8935645.702410664
1745,2011-03-31T00:00:00Z,Value,7355264.412435085
1745,2012-03-31T00:00:00Z,Value,7602168.534436005
1745,2013-03-31T00:00:00Z,Value,6419501.646146781
